before_avg,after_avg,percent_lift,peak_lift,slope_change,mention_id,brand_id,brand_name,song_id,artist_name,title,release_date
41.339958220728384,40.8461684987411,-1.1944611054970702,0.6636829387559189,-0.4739924943880265,130,26,,2799,,,2009-01-01
38.807078701152435,38.16017791325165,-1.6669659493459967,1.1128453171047425,-0.7197010386862599,184,24,,5745,,,2012-01-01
46.872612218824564,49.81109193532196,6.269076070939739,0.7701720397469458,0.500928785218563,197,61,,6010,,,2008-01-01
15.046199071298549,12.680970429108633,-15.719775013109599,-1.0895095053940018,-0.3296542148467546,314,28,,24482,,,2010-01-01
44.91219992697575,48.778944391145764,8.609563705120179,5.9479404909040525,-0.9992376258869429,315,59,,24482,,,2010-01-01
58.654198500657856,58.290878511179905,-0.619427080684909,1.1259654114551267,-1.184726903764741,378,2,,49072,,,2011-01-01
15.503362077562919,15.219432830227328,-1.831404348919841,-0.13510200439856668,0.0357242123509011,397,32,,49896,,,2009-01-01
49.66316224612266,49.53172344200888,-0.2646605616044772,-1.4589814696277656,0.5496507392108846,398,61,,49896,,,2009-01-01
34.36774760973267,31.56483873237654,-8.155637399061936,-0.9595199158338019,-0.4091114156568977,414,12,,50790,,,2009-01-01
31.779820516710494,29.772094902586044,-6.317611557955683,-0.9087060679043546,-0.2049443512483118,417,2,,50931,,,2008-01-01
34.41251753580849,31.85334492436624,-7.436749167522821,-0.48811702704254145,-0.35416535783139613,418,12,,50931,,,2008-01-01
33.87584678131977,33.08018119059757,-2.3487695992811886,0.8598956323201108,-0.6581788549890424,419,3,,51091,,,2011-01-01
33.87584678131977,33.08018119059757,-2.3487695992811886,0.8598956323201108,-0.6581788549890424,420,3,,51091,,,2011-01-01
35.890657309828335,36.772676592245936,2.457517773438754,1.0492459444284563,-0.4762622576013977,449,2,,51771,,,2009-01-01
67.28327567153342,60.589466012232954,-9.94869764052381,-2.629650888196778,-0.8767329913706751,473,50,,52586,,,2013-01-01
76.59645165894395,74.72986604391231,-2.4369087269453344,0.1917151658037426,-1.0601260761648648,474,58,,52586,,,2013-01-01
69.02955295602848,69.07144909219082,0.060693042860087365,1.1699162559865925,-1.262996024940802,475,2,,52588,,,2012-01-01
24.57072891209131,19.99537233212057,-18.621167471889635,-1.9303430174547351,-0.013817146645600464,476,10,,52588,,,2012-01-01
7.004491814992133,7.00136534915797,-0.04463515578710638,-0.0021137952904153323,0.0004026741314040948,477,48,,52588,,,2012-01-01
58.654198500657856,58.290878511179905,-0.619427080684909,1.1259654114551267,-1.184726903764741,511,2,,55374,,,2011-01-01
49.66316224612266,49.53172344200888,-0.2646605616044772,-1.4589814696277656,0.5496507392108846,513,61,,55651,,,2009-01-01
42.69421376796251,42.9355001335829,0.5651500386588639,1.5262523444882277,-0.7913053637238532,522,26,,56755,,,2011-01-01
37.04471705653151,35.182267148627716,-5.027572231180377,-0.455254246834798,-0.5030106821542121,524,3,,57357,,,2010-01-01
38.06617343733159,35.7558737174062,-6.069167219206176,-0.2893452885691943,-0.5468784521109022,525,24,,57357,,,2010-01-01
52.46763426423539,49.11592391263978,-6.388148424325715,-0.8213009281670836,-0.6937946157496979,539,58,,59146,,,2009-01-01
34.24625148524262,31.870580044220176,-6.937026208479471,-0.6452948165847587,-0.471204387431109,663,3,,70457,,,2012-01-01
42.55430521106693,42.368384646419145,-0.43690189211470626,1.0112093124390924,-0.5809494560538728,664,4,,70457,,,2012-01-01
30.569589107277213,30.30644444042223,-0.8608053772752002,0.02591024939423292,-0.3059888359110282,681,3,,75219,,,2009-01-01
58.654198500657856,58.290878511179905,-0.619427080684909,1.1259654114551267,-1.184726903764741,691,2,,77375,,,2011-01-01
38.15519873990472,35.4455437195654,-7.101666639818608,-0.06226508133112674,-0.5660226611510546,723,24,,83543,,,2009-01-01
34.24625148524262,31.870580044220176,-6.937026208479471,-0.6452948165847587,-0.471204387431109,789,3,,96141,,,2012-01-01
30.35614574192209,27.964599304793474,-7.878294093663837,-1.197009760904514,-0.38580699770842386,836,36,,111876,,,2006-01-01
45.86845304346206,40.03361159747794,-12.72081585208069,-2.2869195546062215,-0.5522790011837291,869,62,,122306,,,2007-01-01
52.46640380688633,46.56579172098609,-11.246458033423112,-1.9982649930992125,-0.5659838237295225,888,12,,139693,,,2013-01-01
31.005964615941267,30.045509229530467,-3.09764717297658,-0.734180450512234,-0.03724054444610379,912,3,,148063,,,2013-01-01
46.758503008875095,41.62618689664035,-10.976219899834765,-1.8998671012408934,-0.031617163863251974,921,59,,154620,,,2013-01-01
31.005964615941267,30.045509229530467,-3.09764717297658,-0.734180450512234,-0.03724054444610379,955,3,,172640,,,2013-01-01
17.27120793966536,18.22575592080959,5.526816563285831,0.7875040711047596,-0.038331797757552175,999,56,,195776,,,2007-01-01
31.005964615941267,30.045509229530467,-3.09764717297658,-0.734180450512234,-0.03724054444610379,1045,3,,214754,,,2013-01-01
