label,label_type,query_used,song_id,title,artist,release_date,trend_mean_before,trend_mean_after,trend_delta,trend_ratio,trend_peak_after,peak_after_date,peak_after_lag_days,n_before_points,n_after_points
sneakers,clothing,sneakers,99717,16 Chapels,Travis Scott,2012-03-04,82.92857142857143,85.46666666666667,2.538095238095238,1.0306057995980478,100.0,2012-03-18,14.0,14,15
sneakers,clothing,sneakers,11849823,2000 EXCURSION,Travis Scott,2025-07-08,73.14285714285714,80.26666666666667,7.123809523809527,1.0973958333333333,100.0,2025-07-20,12.0,14,15
watch,accessory,watch,9028864,97,Doja Cat,2023-09-22,76.28571428571429,77.4,1.1142857142857139,1.0146067415730338,100.0,2023-09-24,2.0,14,15
