label,timeframe,geo,done_at,source_batch
sneakers,today 5-y,,2025-10-29T02:22:40.701129+00:00,taxonomy_v1.json
jeans,today 5-y,,2025-10-29T02:23:01.324127+00:00,taxonomy_v1.json
