label,timeframe,geo,done_at,source_batch
sneakers,today 5-y,,2025-10-29T02:43:23.004168+00:00,taxonomy_v1.json
jeans,today 5-y,,2025-10-29T02:43:43.437064+00:00,taxonomy_v1.json
