label,query,month,interest
chanel,Coco Chanel,2019-03-01,74.0
chanel,Coco Chanel,2019-04-01,67.0
chanel,Coco Chanel,2019-05-01,66.0
chanel,Coco Chanel,2019-06-01,68.0
chanel,Coco Chanel,2019-07-01,67.0
chanel,Coco Chanel,2019-08-01,64.0
chanel,Coco Chanel,2019-09-01,71.0
chanel,Coco Chanel,2019-10-01,67.0
chanel,Coco Chanel,2019-11-01,82.0
chanel,Coco Chanel,2019-12-01,95.0
chanel,Coco Chanel,2020-01-01,72.0
chanel,Coco Chanel,2020-02-01,70.0
chanel,Coco Chanel,2020-03-01,62.0
chanel,Coco Chanel,2020-04-01,61.0
chanel,Coco Chanel,2020-05-01,70.0
chanel,Coco Chanel,2020-06-01,68.0
chanel,Coco Chanel,2020-07-01,69.0
chanel,Coco Chanel,2020-08-01,72.0
chanel,Coco Chanel,2020-09-01,69.0
chanel,Coco Chanel,2020-10-01,73.0
chanel,Coco Chanel,2020-11-01,78.0
chanel,Coco Chanel,2020-12-01,91.0
chanel,Coco Chanel,2021-01-01,72.0
chanel,Coco Chanel,2021-02-01,68.0
chanel,Coco Chanel,2021-03-01,71.0
chanel,Coco Chanel,2021-04-01,69.0
chanel,Coco Chanel,2021-05-01,71.0
chanel,Coco Chanel,2021-06-01,66.0
chanel,Coco Chanel,2021-07-01,66.0
chanel,Coco Chanel,2021-08-01,63.0
chanel,Coco Chanel,2021-09-01,65.0
chanel,Coco Chanel,2021-10-01,69.0
chanel,Coco Chanel,2021-11-01,80.0
chanel,Coco Chanel,2021-12-01,100.0
chanel,Coco Chanel,2022-01-01,88.0
chanel,Coco Chanel,2022-02-01,75.0
chanel,Coco Chanel,2022-03-01,72.0
chanel,Coco Chanel,2022-04-01,71.0
chanel,Coco Chanel,2022-05-01,86.0
chanel,Coco Chanel,2022-06-01,70.0
chanel,Coco Chanel,2022-07-01,72.0
chanel,Coco Chanel,2022-08-01,65.0
chanel,Coco Chanel,2022-09-01,69.0
chanel,Coco Chanel,2022-10-01,70.0
chanel,Coco Chanel,2022-11-01,75.0
chanel,Coco Chanel,2022-12-01,85.0
chanel,Coco Chanel,2023-01-01,68.0
chanel,Coco Chanel,2023-02-01,66.0
chanel,Coco Chanel,2023-03-01,70.0
chanel,Coco Chanel,2023-04-01,67.0
chanel,Coco Chanel,2023-05-01,71.0
chanel,Coco Chanel,2023-06-01,68.0
chanel,Coco Chanel,2023-07-01,65.0
chanel,Coco Chanel,2023-08-01,65.0
chanel,Coco Chanel,2023-09-01,67.0
chanel,Coco Chanel,2023-10-01,66.0
chanel,Coco Chanel,2023-11-01,76.0
chanel,Coco Chanel,2023-12-01,86.0
chanel,Coco Chanel,2024-01-01,71.0
chanel,Coco Chanel,2024-02-01,68.0
chanel,Coco Chanel,2024-03-01,71.0
chanel,Coco Chanel,2024-04-01,68.0
chanel,Coco Chanel,2024-05-01,70.0
chanel,Coco Chanel,2024-06-01,67.0
chanel,Coco Chanel,2024-07-01,65.0
chanel,Coco Chanel,2024-08-01,63.0
chanel,Coco Chanel,2024-09-01,64.0
chanel,Coco Chanel,2024-10-01,68.0
chanel,Coco Chanel,2024-11-01,84.0
chanel,Coco Chanel,2024-12-01,94.0
chanel,Coco Chanel,2025-01-01,72.0
chanel,Coco Chanel,2025-02-01,65.0
chanel,Coco Chanel,2025-03-01,66.0
chanel,Coco Chanel,2025-04-01,67.0
chanel,Coco Chanel,2025-05-01,73.0
chanel,Coco Chanel,2025-06-01,64.0
chanel,Coco Chanel,2025-07-01,64.0
chanel,Coco Chanel,2025-08-01,74.0
chanel,Coco Chanel,2025-09-01,68.0
chanel,Coco Chanel,2025-10-01,74.0
louis vuitton,louis vuitton,2010-01-01,50.0
louis vuitton,louis vuitton,2010-02-01,48.0
louis vuitton,louis vuitton,2010-03-01,51.0
louis vuitton,louis vuitton,2010-04-01,47.0
louis vuitton,louis vuitton,2010-05-01,51.0
louis vuitton,louis vuitton,2010-06-01,49.0
louis vuitton,louis vuitton,2010-07-01,52.0
louis vuitton,louis vuitton,2010-08-01,54.0
louis vuitton,louis vuitton,2010-09-01,52.0
louis vuitton,louis vuitton,2010-10-01,53.0
louis vuitton,louis vuitton,2010-11-01,56.0
louis vuitton,louis vuitton,2010-12-01,67.0
louis vuitton,louis vuitton,2011-01-01,57.0
louis vuitton,louis vuitton,2011-02-01,56.0
louis vuitton,louis vuitton,2011-03-01,55.0
louis vuitton,louis vuitton,2011-04-01,54.0
louis vuitton,louis vuitton,2011-05-01,54.0
louis vuitton,louis vuitton,2011-06-01,58.0
louis vuitton,louis vuitton,2011-07-01,59.0
louis vuitton,louis vuitton,2011-08-01,60.0
louis vuitton,louis vuitton,2011-09-01,60.0
louis vuitton,louis vuitton,2011-10-01,60.0
louis vuitton,louis vuitton,2011-11-01,69.0
louis vuitton,louis vuitton,2011-12-01,85.0
louis vuitton,louis vuitton,2012-01-01,71.0
louis vuitton,louis vuitton,2012-02-01,70.0
louis vuitton,louis vuitton,2012-03-01,64.0
louis vuitton,louis vuitton,2012-04-01,69.0
louis vuitton,louis vuitton,2012-05-01,66.0
louis vuitton,louis vuitton,2012-06-01,61.0
louis vuitton,louis vuitton,2012-07-01,64.0
louis vuitton,louis vuitton,2012-08-01,67.0
louis vuitton,louis vuitton,2012-09-01,65.0
louis vuitton,louis vuitton,2012-10-01,56.0
louis vuitton,louis vuitton,2012-11-01,65.0
louis vuitton,louis vuitton,2012-12-01,73.0
louis vuitton,louis vuitton,2013-01-01,58.0
