date,value
2025-06-24,67
2025-06-25,66
2025-06-26,71
2025-06-27,75
2025-06-28,83
2025-06-29,82
2025-06-30,69
2025-07-01,68
2025-07-02,69
2025-07-03,68
2025-07-04,69
2025-07-05,78
2025-07-06,83
2025-07-07,76
2025-07-08,71
2025-07-09,75
2025-07-10,75
2025-07-11,77
2025-07-12,85
2025-07-13,88
2025-07-14,73
2025-07-15,74
2025-07-16,73
2025-07-17,77
2025-07-18,77
2025-07-19,93
2025-07-20,100
2025-07-21,85
2025-07-22,81
