date,value
2023-09-08,75
2023-09-09,92
2023-09-10,99
2023-09-11,63
2023-09-12,71
2023-09-13,77
2023-09-14,71
2023-09-15,71
2023-09-16,89
2023-09-17,94
2023-09-18,67
2023-09-19,66
2023-09-20,67
2023-09-21,66
2023-09-22,78
2023-09-23,95
2023-09-24,100
2023-09-25,70
2023-09-26,67
2023-09-27,67
2023-09-28,71
2023-09-29,74
2023-09-30,92
2023-10-01,98
2023-10-02,70
2023-10-03,67
2023-10-04,72
2023-10-05,68
2023-10-06,72
